question_text,student_answer,grade_label,marks,combined_text
what is cache memory,the binary number 1010 is equal to 10 in decimal 8 0 2 0,INCORRECT,0,what is cache memory [SEP] the binary number 1010 is equal to 10 in decimal 8 0 2 0
define bandwidth in networking,second data path bits measured rate maximum transfer per usually a the across given in,GOOD,10,define bandwidth in networking [SEP] second data path bits measured rate maximum transfer per usually a the across given in
define bandwidth in networking,maximum per across define maximum rate bits transfer bandwidth,PARTIAL,5,define bandwidth in networking [SEP] maximum per across define maximum rate bits transfer bandwidth
define bandwidth in networking,transfer,WEAK,2,define bandwidth in networking [SEP] transfer
define bandwidth in networking,i don t know,INCORRECT,0,define bandwidth in networking [SEP] i don t know
define bandwidth in networking,i don t know,INCORRECT,0,define bandwidth in networking [SEP] i don t know
what is throughput,the actual amount of data that is successfully moved from one place to another in a given time period,GOOD,10,what is throughput [SEP] the actual amount of data that is successfully moved from one place to another in a given time period
what is throughput,given time amount time data given throughput period network performance,PARTIAL,5,what is throughput [SEP] given time amount time data given throughput period network performance
what is throughput,data,WEAK,2,what is throughput [SEP] data
what is throughput,malware that misleads users of its true intent often disguising itself as legitimate software,INCORRECT,0,what is throughput [SEP] malware that misleads users of its true intent often disguising itself as legitimate software
what is throughput,a communication mode where data can flow in both directions simultaneously e g telephone,INCORRECT,0,what is throughput [SEP] a communication mode where data can flow in both directions simultaneously e g telephone
what is latency in a network,the time it takes for a data packet travel from its source to its destination,GOOD,10,what is latency in a network [SEP] the time it takes for a data packet travel from its source to its destination
what is latency in a network,time to travel source to destination destination travel its packet,PARTIAL,5,what is latency in a network [SEP] time to travel source to destination destination travel its packet
what is latency in a network,its,WEAK,2,what is latency in a network [SEP] its
what is latency in a network,information is processed data that conveys a specific meaning and is useful for decision making,INCORRECT,0,what is latency in a network [SEP] information is processed data that conveys a specific meaning and is useful for decision making
what is latency in a network,i don t know,INCORRECT,0,what is latency in a network [SEP] i don t know
what is simplex transmission,direction in radio mode one e broadcasting only a flows g data where,GOOD,10,what is simplex transmission [SEP] direction in radio mode one e broadcasting only a flows g data where
what is simplex transmission,direction unidirectional mode flows broadcasting simplex communication tv,PARTIAL,5,what is simplex transmission [SEP] direction unidirectional mode flows broadcasting simplex communication tv
what is simplex transmission,direction,WEAK,2,what is simplex transmission [SEP] direction
what is simplex transmission,a combinational circuit that adds two single binary digits and produces a sum and a carry bit,INCORRECT,0,what is simplex transmission [SEP] a combinational circuit that adds two single binary digits and produces a sum and a carry bit
what is simplex transmission,a deployment method where the new system and the old system run simultaneously for a period of time to ensure the new system works correctly,INCORRECT,0,what is simplex transmission [SEP] a deployment method where the new system and the old system run simultaneously for a period of time to ensure the new system works correctly
what is half duplex transmission,a communication mode where data can flow in both directions but not simultaneously e g walkie talkie,GOOD,10,what is half duplex transmission [SEP] a communication mode where data can flow in both directions but not simultaneously e g walkie talkie
what is half duplex transmission,mode transmission both directions not simultaneously flow but walkie walkie talkie data alternating,PARTIAL,5,what is half duplex transmission [SEP] mode transmission both directions not simultaneously flow but walkie walkie talkie data alternating
what is half duplex transmission,simultaneously,WEAK,2,what is half duplex transmission [SEP] simultaneously
what is half duplex transmission,i don t know,INCORRECT,0,what is half duplex transmission [SEP] i don t know
what is half duplex transmission,a graphical representation of the flow of data through an information system modeling its process aspects,INCORRECT,0,what is half duplex transmission [SEP] a graphical representation of the flow of data through an information system modeling its process aspects
what is full duplex transmission,a communication mode where data can flow in both directions simultaneously e g telephone,GOOD,10,what is full duplex transmission [SEP] a communication mode where data can flow in both directions simultaneously e g telephone
what is full duplex transmission,mode telephone directions flow telephone communication full,PARTIAL,5,what is full duplex transmission [SEP] mode telephone directions flow telephone communication full
what is full duplex transmission,both directions simultaneously,WEAK,2,what is full duplex transmission [SEP] both directions simultaneously
what is full duplex transmission,i don t know,INCORRECT,0,what is full duplex transmission [SEP] i don t know
what is full duplex transmission,a deployment strategy where the new system is implemented in stages or modules across the organization rather than all at once,INCORRECT,0,what is full duplex transmission [SEP] a deployment strategy where the new system is implemented in stages or modules across the organization rather than all at once
what is a mac address,a unique identifier assigned to a network interface controller nic for use as a network address in within a network segment,GOOD,10,what is a mac address [SEP] a unique identifier assigned to a network interface controller nic for use as a network address in within a network segment
what is a mac address,network address controller network within nic nic address mac,PARTIAL,5,what is a mac address [SEP] network address controller network within nic nic address mac
what is a mac address,address,WEAK,2,what is a mac address [SEP] address
what is a mac address,i don t know,INCORRECT,0,what is a mac address [SEP] i don t know
what is a mac address,it is a mathematical operation on binary numbers used to represent signed integers and simplify subtraction operations,INCORRECT,0,what is a mac address [SEP] it is a mathematical operation on binary numbers used to represent signed integers and simplify subtraction operations
what is an ip address,device for label that computer network protocol a numerical uses internet to each assigned to the,GOOD,10,what is an ip address [SEP] device for label that computer network protocol a numerical uses internet to each assigned to the
what is an ip address,internet address assigned ip network device connected computer device ipv4,PARTIAL,5,what is an ip address [SEP] internet address assigned ip network device connected computer device ipv4
what is an ip address,numerical,WEAK,2,what is an ip address [SEP] numerical
what is an ip address,a type of volatile memory that uses flip flops to hold data and is faster but more expensive than dram often used for cache,INCORRECT,0,what is an ip address [SEP] a type of volatile memory that uses flip flops to hold data and is faster but more expensive than dram often used for cache
what is an ip address,malware that misleads users of its true intent often disguising itself as legitimate software,INCORRECT,0,what is an ip address [SEP] malware that misleads users of its true intent often disguising itself as legitimate software
what is the function of a router,a networking device that forwards data packets between computer networks,GOOD,10,what is the function of a router [SEP] a networking device that forwards data packets between computer networks
what is the function of a router,function data forwards packets router between between networks,PARTIAL,5,what is the function of a router [SEP] function data forwards packets router between between networks
what is the function of a router,forwards,WEAK,2,what is the function of a router [SEP] forwards
what is the function of a router,a communication mode where data can flow in both directions simultaneously e g telephone,INCORRECT,0,what is the function of a router [SEP] a communication mode where data can flow in both directions simultaneously e g telephone
what is the function of a router,it creates an unordered list typically displayed with bullet points,INCORRECT,0,what is the function of a router [SEP] it creates an unordered list typically displayed with bullet points
what is the function of a switch,a networking device that connects devices within a network lan and uses mac forward the correct destination,GOOD,10,what is the function of a switch [SEP] a networking device that connects devices within a network lan and uses mac forward the correct destination
what is the function of a switch,uses mac addresses network lan devices correct device lan data switch function filtering,PARTIAL,5,what is the function of a switch [SEP] uses mac addresses network lan devices correct device lan data switch function filtering
what is the function of a switch,function,WEAK,2,what is the function of a switch [SEP] function
what is the function of a switch,i don t know,INCORRECT,0,what is the function of a switch [SEP] i don t know
what is the function of a switch,a column or set of columns in a table that can uniquely identify any database record without referring to any other data,INCORRECT,0,what is the function of a switch [SEP] a column or set of columns in a table that can uniquely identify any database record without referring to any other data
what is structured query language sql,a standard language for storing manipulating and retrieving data in databases,GOOD,10,what is structured query language sql [SEP] a standard language for storing manipulating and retrieving data in databases
what is structured query language sql,query manipulating databases structured language data,PARTIAL,5,what is structured query language sql [SEP] query manipulating databases structured language data
what is structured query language sql,structured,WEAK,2,what is structured query language sql [SEP] structured
what is structured query language sql,whitespace at the beginning of a line used to define the scope of loops functions and control structures blocks of code,INCORRECT,0,what is structured query language sql [SEP] whitespace at the beginning of a line used to define the scope of loops functions and control structures blocks of code
what is structured query language sql,i don t know,INCORRECT,0,what is structured query language sql [SEP] i don t know
what is the create table command used for,it is used to a new table in a database,GOOD,10,what is the create table command used for [SEP] it is used to a new table in a database
what is the create table command used for,database command table used,PARTIAL,5,what is the create table command used for [SEP] database command table used
what is the create table command used for,table,WEAK,2,what is the create table command used for [SEP] table
what is the create table command used for,a software design technique that emphasizes separating the functionality of a program into independent interchangeable modules,INCORRECT,0,what is the create table command used for [SEP] a software design technique that emphasizes separating the functionality of a program into independent interchangeable modules
what is the create table command used for,i don t know,INCORRECT,0,what is the create table command used for [SEP] i don t know
what does the drop table command do,it deletes an existing table and all its data from the database,GOOD,10,what does the drop table command do [SEP] it deletes an existing table and all its data from the database
what does the drop table command do,command deletes removes data removes existing table drop,PARTIAL,5,what does the drop table command do [SEP] command deletes removes data removes existing table drop
what does the drop table command do,deletes,WEAK,2,what does the drop table command do [SEP] deletes
what does the drop table command do,an and gate produces a high output 1 only if all its inputs are high 1,INCORRECT,0,what does the drop table command do [SEP] an and gate produces a high output 1 only if all its inputs are high 1
what does the drop table command do,i don t know,INCORRECT,0,what does the drop table command do [SEP] i don t know
what is the alter table command used for,it is used to add delete or modify columns in an existing table,GOOD,10,what is the alter table command used for [SEP] it is used to add delete or modify columns in an existing table
what is the alter table command used for,add columns delete alter command modify,PARTIAL,5,what is the alter table command used for [SEP] add columns delete alter command modify
what is the alter table command used for,table,WEAK,2,what is the alter table command used for [SEP] table
what is the alter table command used for,i don t know,INCORRECT,0,what is the alter table command used for [SEP] i don t know
what is the alter table command used for,a unique identifier assigned to a network interface controller nic for use as a network address in communications within a network segment,INCORRECT,0,what is the alter table command used for [SEP] a unique identifier assigned to a network interface controller nic for use as a network address in communications within a network segment
what is a candidate key,a column or set of columns in a table that can uniquely identify database record without to any other data,GOOD,10,what is a candidate key [SEP] a column or set of columns in a table that can uniquely identify database record without to any other data
what is a candidate key,uniquely uniquely identify minimal columns any without candidate database table column potential primary key,PARTIAL,5,what is a candidate key [SEP] uniquely uniquely identify minimal columns any without candidate database table column potential primary key
what is a candidate key,candidate,WEAK,2,what is a candidate key [SEP] candidate
what is a candidate key,i don t know,INCORRECT,0,what is a candidate key [SEP] i don t know
what is a candidate key,a set of rules and conventions that define how data is transmitted and received over a network,INCORRECT,0,what is a candidate key [SEP] a set of rules and conventions that define how data is transmitted and received over a network
what is referential integrity,stating essentially must property references in key a primary key match of are that its of the a a valid foreign all parent table value,GOOD,10,what is referential integrity [SEP] stating essentially must property references in key a primary key match of are that its of the a a valid foreign all parent table value
what is referential integrity,referential table primary foreign must essentially all matches value match,PARTIAL,5,what is referential integrity [SEP] referential table primary foreign must essentially all matches value match
what is referential integrity,property,WEAK,2,what is referential integrity [SEP] property
what is referential integrity,a primary key is a specific choice of a minimal set of attributes columns that uniquely specify a tuple row in a relation table,INCORRECT,0,what is referential integrity [SEP] a primary key is a specific choice of a minimal set of attributes columns that uniquely specify a tuple row in a relation table
what is referential integrity,i don t know,INCORRECT,0,what is referential integrity [SEP] i don t know
what is normalization in databases,the process of organizing data in a database to reduce redundancy and improve data integrity,GOOD,10,what is normalization in databases [SEP] the process of organizing data in a database to reduce redundancy and improve data integrity
what is normalization in databases,databases reduce redundancy improve reduce redundancy normalization design,PARTIAL,5,what is normalization in databases [SEP] databases reduce redundancy improve reduce redundancy normalization design
what is normalization in databases,data,WEAK,2,what is normalization in databases [SEP] data
what is normalization in databases,i don t know,INCORRECT,0,what is normalization in databases [SEP] i don t know
what is normalization in databases,i don t know,INCORRECT,0,what is normalization in databases [SEP] i don t know
what is the waterfall model in sdlc,a sequential design process where progress is seen as flowing steadily downwards through phases like requirements analysis design implementation and maintenance,GOOD,10,what is the waterfall model in sdlc [SEP] a sequential design process where progress is seen as flowing steadily downwards through phases like requirements analysis design implementation and maintenance
what is the waterfall model in sdlc,design through phases sequential process process analysis sdlc steadily requirements flowing downwards,PARTIAL,5,what is the waterfall model in sdlc [SEP] design through phases sequential process process analysis sdlc steadily requirements flowing downwards
what is the waterfall model in sdlc,maintenance,WEAK,2,what is the waterfall model in sdlc [SEP] maintenance
what is the waterfall model in sdlc,the open systems interconnection osi model is a conceptual framework used to describe the functions of a networking system divided into 7 layers,INCORRECT,0,what is the waterfall model in sdlc [SEP] the open systems interconnection osi model is a conceptual framework used to describe the functions of a networking system divided into 7 layers
what is the waterfall model in sdlc,data can be transmitted in both directions simultaneously e g telephone conversation,INCORRECT,0,what is the waterfall model in sdlc [SEP] data can be transmitted in both directions simultaneously e g telephone conversation
what is the spiral model,a risk driven software development process model that combines elements of both design and prototyping in stages,GOOD,10,what is the spiral model [SEP] a risk driven software development process model that combines elements of both design and prototyping in stages
what is the spiral model,combines development prototyping software spiral elements risk driven both,PARTIAL,5,what is the spiral model [SEP] combines development prototyping software spiral elements risk driven both
what is the spiral model,process,WEAK,2,what is the spiral model [SEP] process
what is the spiral model,i don t know,INCORRECT,0,what is the spiral model [SEP] i don t know
what is the spiral model,short for else if it allows you to check multiple expressions for true and execute a block of code as soon as one of the conditions evaluates to true,INCORRECT,0,what is the spiral model [SEP] short for else if it allows you to check multiple expressions for true and execute a block of code as soon as one of the conditions evaluates to true
what is black box testing,the an of examines method structures workings application internal or its testing peering a that without into software functionality,GOOD,10,what is black box testing [SEP] the an of examines method structures workings application internal or its testing peering a that without into software functionality
what is black box testing,peering structures box testing functionality without internal testing examines unknown input output,PARTIAL,5,what is black box testing [SEP] peering structures box testing functionality without internal testing examines unknown input output
what is black box testing,box,WEAK,2,what is black box testing [SEP] box
what is black box testing,i don t know,INCORRECT,0,what is black box testing [SEP] i don t know
what is black box testing,a relation is in 3nf if it is in 2nf and has no transitive dependencies non key attributes depend only on the primary key,INCORRECT,0,what is black box testing [SEP] a relation is in 3nf if it is in 2nf and has no transitive dependencies non key attributes depend only on the primary key
what is white box testing,a method that tests structures or workings of an application as opposed its functionality,GOOD,10,what is white box testing [SEP] a method that tests structures or workings of an application as opposed its functionality
what is white box testing,application method tests testing structures box functionality known structural testing,PARTIAL,5,what is white box testing [SEP] application method tests testing structures box functionality known structural testing
what is white box testing,testing,WEAK,2,what is white box testing [SEP] testing
what is white box testing,the machine readable code binary produced by a compiler or assembler from source code,INCORRECT,0,what is white box testing [SEP] the machine readable code binary produced by a compiler or assembler from source code
what is white box testing,a bidirectional bus used to transfer actual data between the cpu memory and i o devices,INCORRECT,0,what is white box testing [SEP] a bidirectional bus used to transfer actual data between the cpu memory and i o devices
what is unit testing,a level software testing where individual units components of a software are tested,GOOD,10,what is unit testing [SEP] a level software testing where individual units components of a software are tested
what is unit testing,unit units level testing tested software,PARTIAL,5,what is unit testing [SEP] unit units level testing tested software
what is unit testing,level,WEAK,2,what is unit testing [SEP] level
what is unit testing,the actual amount of data that is successfully moved from one place to another in a given time period,INCORRECT,0,what is unit testing [SEP] the actual amount of data that is successfully moved from one place to another in a given time period
what is unit testing,a risk driven software development process model that combines elements of both design and prototyping in stages,INCORRECT,0,what is unit testing [SEP] a risk driven software development process model that combines elements of both design and prototyping in stages
what is system testing,with conducted its evaluate testing the a s complete requirements integrated on system specified,GOOD,10,what is system testing [SEP] with conducted its evaluate testing the a s complete requirements integrated on system specified
what is system testing,system system integrated its evaluate testing specified testing,PARTIAL,5,what is system testing [SEP] system system integrated its evaluate testing specified testing
what is system testing,conducted,WEAK,2,what is system testing [SEP] conducted
what is system testing,additional information provided within the start tag of an html element to modify its behavior or presentation e g src href,INCORRECT,0,what is system testing [SEP] additional information provided within the start tag of an html element to modify its behavior or presentation e g src href
what is system testing,spooling is a process where data is temporarily held to be used and executed by a device program or system common in printing,INCORRECT,0,what is system testing [SEP] spooling is a process where data is temporarily held to be used and executed by a device program or system common in printing
what is acceptance testing,formal testing with respect to user needs requirements and business processes conducted to determine whether or not a system the acceptance criteria,GOOD,10,what is acceptance testing [SEP] formal testing with respect to user needs requirements and business processes conducted to determine whether or not a system the acceptance criteria
what is acceptance testing,formal respect satisfies requirements not acceptance needs acceptance system testing final testing,PARTIAL,5,what is acceptance testing [SEP] formal respect satisfies requirements not acceptance needs acceptance system testing final testing
what is acceptance testing,acceptance,WEAK,2,what is acceptance testing [SEP] acceptance
what is acceptance testing,i don t know,INCORRECT,0,what is acceptance testing [SEP] i don t know
what is acceptance testing,i don t know,INCORRECT,0,what is acceptance testing [SEP] i don t know
what is the function of the program counter pc,it holds memory address of the next instruction to be fetched and executed by the,GOOD,10,what is the function of the program counter pc [SEP] it holds memory address of the next instruction to be fetched and executed by the
what is the function of the program counter pc,memory cpu holds memory address holds next instruction instruction fetched,PARTIAL,5,what is the function of the program counter pc [SEP] memory cpu holds memory address holds next instruction instruction fetched
what is the function of the program counter pc,instruction,WEAK,2,what is the function of the program counter pc [SEP] instruction
what is the function of the program counter pc,a method of representing negative binary numbers by inverting all the bits of the positive number,INCORRECT,0,what is the function of the program counter pc [SEP] a method of representing negative binary numbers by inverting all the bits of the positive number
what is the function of the program counter pc,a communication mode where data flows in only one direction e g radio broadcasting,INCORRECT,0,what is the function of the program counter pc [SEP] a communication mode where data flows in only one direction e g radio broadcasting
what is the accumulator in a cpu,it is a register in the alu that holds intermediate arithmetic and logic results during processing,GOOD,10,what is the accumulator in a cpu [SEP] it is a register in the alu that holds intermediate arithmetic and logic results during processing
what is the accumulator in a cpu,register holds accumulator alu results register,PARTIAL,5,what is the accumulator in a cpu [SEP] register holds accumulator alu results register
what is the accumulator in a cpu,accumulator,WEAK,2,what is the accumulator in a cpu [SEP] accumulator
what is the accumulator in a cpu,a lan local area network connects devices within a limited area like a home or office while a wan wide area network covers a large geographic area,INCORRECT,0,what is the accumulator in a cpu [SEP] a lan local area network connects devices within a limited area like a home or office while a wan wide area network covers a large geographic area
what is the accumulator in a cpu,a cable containing glass or plastic fibers that transmit data using light pulses offering high speed and long distance transmission,INCORRECT,0,what is the accumulator in a cpu [SEP] a cable containing glass or plastic fibers that transmit data using light pulses offering high speed and long distance transmission
what is the instruction register ir,it is a register that holds the current instruction being executed or decoded,GOOD,10,what is the instruction register ir [SEP] it is a register that holds the current instruction being executed or decoded
what is the instruction register ir,register current holds current instruction being decoded instruction,PARTIAL,5,what is the instruction register ir [SEP] register current holds current instruction being decoded instruction
what is the instruction register ir,holds current instruction,WEAK,2,what is the instruction register ir [SEP] holds current instruction
what is the instruction register ir,it manages the establishment maintenance and termination of connections sessions between applications,INCORRECT,0,what is the instruction register ir [SEP] it manages the establishment maintenance and termination of connections sessions between applications
what is the instruction register ir,a risk driven software development process model that combines elements of both design and prototyping in stages,INCORRECT,0,what is the instruction register ir [SEP] a risk driven software development process model that combines elements of both design and prototyping in stages
what is the function of the memory address register mar,it holds the address of the memory location where data is to be read from or written to,GOOD,10,what is the function of the memory address register mar [SEP] it holds the address of the memory location where data is to be read from or written to
what is the function of the memory address register mar,read data address memory register written cpu,PARTIAL,5,what is the function of the memory address register mar [SEP] read data address memory register written cpu
what is the function of the memory address register mar,data,WEAK,2,what is the function of the memory address register mar [SEP] data
what is the function of the memory address register mar,a type of malware that when executed replicates itself by modifying other computer programs and inserting its own code,INCORRECT,0,what is the function of the memory address register mar [SEP] a type of malware that when executed replicates itself by modifying other computer programs and inserting its own code
what is the function of the memory address register mar,i don t know,INCORRECT,0,what is the function of the memory address register mar [SEP] i don t know
what is the memory data register mdr,it holds data being transferred or from the memory,GOOD,10,what is the memory data register mdr [SEP] it holds data being transferred or from the memory
what is the memory data register mdr,memory ram register holds data holds data buffer,PARTIAL,5,what is the memory data register mdr [SEP] memory ram register holds data holds data buffer
what is the memory data register mdr,memory,WEAK,2,what is the memory data register mdr [SEP] memory
what is the memory data register mdr,physical data link network transport session presentation application,INCORRECT,0,what is the memory data register mdr [SEP] physical data link network transport session presentation application
what is the memory data register mdr,it is used to create a new table in a database,INCORRECT,0,what is the memory data register mdr [SEP] it is used to create a new table in a database
define system bus,a system bus is a computer bus that connects the major components a computer system combining the functions of a data address and control bus,GOOD,10,define system bus [SEP] a system bus is a computer bus that connects the major components a computer system combining the functions of a data address and control bus
define system bus,combines buses address single system computer system bus major functions bus pathway,PARTIAL,5,define system bus [SEP] combines buses address single system computer system bus major functions bus pathway
define system bus,bus,WEAK,2,define system bus [SEP] bus
define system bus,dns translates human readable domain names like www google com into ip addresses that computers use to identify each other,INCORRECT,0,define system bus [SEP] dns translates human readable domain names like www google com into ip addresses that computers use to identify each other
define system bus,i don t know,INCORRECT,0,define system bus [SEP] i don t know
what is the data bus,a bidirectional bus used to transfer data between the memory and i o devices,GOOD,10,what is the data bus [SEP] a bidirectional bus used to transfer data between the memory and i o devices
what is the data bus,cpu actual bus data devices transfer data path,PARTIAL,5,what is the data bus [SEP] cpu actual bus data devices transfer data path
what is the data bus,between,WEAK,2,what is the data bus [SEP] between
what is the data bus,a combinational logic circuit that adds two single bit numbers and produces a sum and a carry,INCORRECT,0,what is the data bus [SEP] a combinational logic circuit that adds two single bit numbers and produces a sum and a carry
what is the data bus,an entity is an object or concept in the real world that is distinguishable from all other objects e g student car,INCORRECT,0,what is the data bus [SEP] an entity is an object or concept in the real world that is distinguishable from all other objects e g student car
what is the address bus,a unidirectional bus used by the cpu specify the physical address of memory location it wants to access,GOOD,10,what is the address bus [SEP] a unidirectional bus used by the cpu specify the physical address of memory location it wants to access
what is the address bus,specify physical address access bus bus specify physical wants used,PARTIAL,5,what is the address bus [SEP] specify physical address access bus bus specify physical wants used
what is the address bus,bus,WEAK,2,what is the address bus [SEP] bus
what is the address bus,i don t know,INCORRECT,0,what is the address bus [SEP] i don t know
what is the address bus,a program or group of programs designed for end users to perform specific tasks e g word processors web browsers,INCORRECT,0,what is the address bus [SEP] a program or group of programs designed for end users to perform specific tasks e g word processors web browsers
what is the control bus,a bus used by the cpu to communicate with other devices by transmitting control signals e g read write,GOOD,10,what is the control bus [SEP] a bus used by the cpu to communicate with other devices by transmitting control signals e g read write
what is the control bus,transmit cpu control other read signals control communicate,PARTIAL,5,what is the control bus [SEP] transmit cpu control other read signals control communicate
what is the control bus,signals,WEAK,2,what is the control bus [SEP] signals
what is the control bus,i don t know,INCORRECT,0,what is the control bus [SEP] i don t know
what is the control bus,data can be transmitted in both directions but not at the same time e g walkie talkie,INCORRECT,0,what is the control bus [SEP] data can be transmitted in both directions but not at the same time e g walkie talkie
what is sram static ram,a type of volatile memory that uses flip flops to hold data and is faster but more expensive than dram often used for cache,GOOD,10,what is sram static ram [SEP] a type of volatile memory that uses flip flops to hold data and is faster but more expensive than dram often used for cache
what is sram static ram,flip flip flops than volatile faster sram often faster used type memory expensive cache memory,PARTIAL,5,what is sram static ram [SEP] flip flip flops than volatile faster sram often faster used type memory expensive cache memory
what is sram static ram,expensive,WEAK,2,what is sram static ram [SEP] expensive
what is sram static ram,i don t know,INCORRECT,0,what is sram static ram [SEP] i don t know
what is sram static ram,an operating system is system software that manages computer hardware and provides services for application programs,INCORRECT,0,what is sram static ram [SEP] an operating system is system software that manages computer hardware and provides services for application programs
what is dram dynamic ram,a of volatile that capacitors to store data and requires periodic refreshing used for main system,GOOD,10,what is dram dynamic ram [SEP] a of volatile that capacitors to store data and requires periodic refreshing used for main system
what is dram dynamic ram,store system periodic type memory volatile main requires ram dynamic,PARTIAL,5,what is dram dynamic ram [SEP] store system periodic type memory volatile main requires ram dynamic
what is dram dynamic ram,store,WEAK,2,what is dram dynamic ram [SEP] store
what is dram dynamic ram,information is processed data that conveys a specific meaning and is useful for decision making,INCORRECT,0,what is dram dynamic ram [SEP] information is processed data that conveys a specific meaning and is useful for decision making
what is dram dynamic ram,an interface that processes commands to a computer program in the form of lines of text,INCORRECT,0,what is dram dynamic ram [SEP] an interface that processes commands to a computer program in the form of lines of text
what is rom read only memory,non volatile memory that stores permanent data or instructions firmware required to boot the computer,GOOD,10,what is rom read only memory [SEP] non volatile memory that stores permanent data or instructions firmware required to boot the computer
what is rom read only memory,volatile boot instructions boot rom non volatile firmware read only,PARTIAL,5,what is rom read only memory [SEP] volatile boot instructions boot rom non volatile firmware read only
what is rom read only memory,data,WEAK,2,what is rom read only memory [SEP] data
what is rom read only memory,it holds the memory address of the next instruction to be fetched and executed by the cpu,INCORRECT,0,what is rom read only memory [SEP] it holds the memory address of the next instruction to be fetched and executed by the cpu
what is rom read only memory,a dbms is software that interacts with end users applications and the database itself to capture and analyze data,INCORRECT,0,what is rom read only memory [SEP] a dbms is software that interacts with end users applications and the database itself to capture and analyze data
what is bios basic input output system,firmware stored on a rom chip that and hardware during the boot process post,GOOD,10,what is bios basic input output system [SEP] firmware stored on a rom chip that and hardware during the boot process post
what is bios basic input output system,firmware bios basic initializes hardware firmware tests post input system during rom,PARTIAL,5,what is bios basic input output system [SEP] firmware bios basic initializes hardware firmware tests post input system during rom
what is bios basic input output system,basic,WEAK,2,what is bios basic input output system [SEP] basic
what is bios basic input output system,i don t know,INCORRECT,0,what is bios basic input output system [SEP] i don t know
what is bios basic input output system,i don t know,INCORRECT,0,what is bios basic input output system [SEP] i don t know
what is cmos memory,small bios settings a powered motherboard a of info hardware a on that the time computer memory amount,GOOD,10,what is cmos memory [SEP] small bios settings a powered motherboard a of info hardware a on that the time computer memory amount
what is cmos memory,memory cmos powered battery info time hardware computer,PARTIAL,5,what is cmos memory [SEP] memory cmos powered battery info time hardware computer
what is cmos memory,settings,WEAK,2,what is cmos memory [SEP] settings
what is cmos memory,it reads a single line from the file,INCORRECT,0,what is cmos memory [SEP] it reads a single line from the file
what is cmos memory,an attribute whose value is calculated from other attributes and is not physically stored in the database e g age derived from date of birth,INCORRECT,0,what is cmos memory [SEP] an attribute whose value is calculated from other attributes and is not physically stored in the database e g age derived from date of birth
define access time in memory,the time interval between the request for data and the delivery of data from the memory,GOOD,10,define access time in memory [SEP] the time interval between the request for data and the delivery of data from the memory
define access time in memory,request interval time interval time request to delivery memory latency,PARTIAL,5,define access time in memory [SEP] request interval time interval time request to delivery memory latency
define access time in memory,interval,WEAK,2,define access time in memory [SEP] interval
define access time in memory,a data store represents a repository where data is stored for later use depicted by an open ended rectangle,INCORRECT,0,define access time in memory [SEP] a data store represents a repository where data is stored for later use depicted by an open ended rectangle
define access time in memory,data can be transmitted in both directions but not at the same time e g walkie talkie,INCORRECT,0,define access time in memory [SEP] data can be transmitted in both directions but not at the same time e g walkie talkie
what is seek time in hard disks,the time taken for the read write head to move to the specific track on the disk,GOOD,10,what is seek time in hard disks [SEP] the time taken for the read write head to move to the specific track on the disk
what is seek time in hard disks,time taken seek head move to track read specific taken time move latency,PARTIAL,5,what is seek time in hard disks [SEP] time taken seek head move to track read specific taken time move latency
what is seek time in hard disks,time taken,WEAK,2,what is seek time in hard disks [SEP] time taken
what is seek time in hard disks,a circuit that has two stable states and can be used to store state information a single bit,INCORRECT,0,what is seek time in hard disks [SEP] a circuit that has two stable states and can be used to store state information a single bit
what is seek time in hard disks,a bit added to a string of binary code to ensure that the total number of 1 bits in the string is even or odd error detection,INCORRECT,0,what is seek time in hard disks [SEP] a bit added to a string of binary code to ensure that the total number of 1 bits in the string is even or odd error detection
what is rotational latency,the time waiting for the disk sector to rotate under the read write head,GOOD,10,what is rotational latency [SEP] the time waiting for the disk sector to rotate under the read write head
what is rotational latency,sector disk waiting rotate the time waiting for the disk sector to rotate under the read write head rotational,PARTIAL,5,what is rotational latency [SEP] sector disk waiting rotate the time waiting for the disk sector to rotate under the read write head rotational
what is rotational latency,write,WEAK,2,what is rotational latency [SEP] write
what is rotational latency,i don t know,INCORRECT,0,what is rotational latency [SEP] i don t know
what is rotational latency,it creates an unordered list typically displayed with bullet points,INCORRECT,0,what is rotational latency [SEP] it creates an unordered list typically displayed with bullet points
what is flash memory,a type of non volatile electronic storage media that can be electrically erased and reprogrammed e g usb drives ssds,GOOD,10,what is flash memory [SEP] a type of non volatile electronic storage media that can be electrically erased and reprogrammed e g usb drives ssds
what is flash memory,reprogrammed usb media memory non can electronic electrically usb,PARTIAL,5,what is flash memory [SEP] reprogrammed usb media memory non can electronic electrically usb
what is flash memory,erased,WEAK,2,what is flash memory [SEP] erased
what is flash memory,a device driver is a computer program that operates or controls a particular type of device that is attached to a computer,INCORRECT,0,what is flash memory [SEP] a device driver is a computer program that operates or controls a particular type of device that is attached to a computer
what is flash memory,i don t know,INCORRECT,0,what is flash memory [SEP] i don t know
what is an interrupt in os,a signal to processor emitted by hardware or software indicating event that needs immediate attention,GOOD,10,what is an interrupt in os [SEP] a signal to processor emitted by hardware or software indicating event that needs immediate attention
what is an interrupt in os,indicating signal immediate attention os event signal to processor interrupt handler,PARTIAL,5,what is an interrupt in os [SEP] indicating signal immediate attention os event signal to processor interrupt handler
